Country,Year,Rank,Score
KAZ,2021,79,28.6
KAZ,2022,83,24.7
KAZ,2023,81,26.7
KAZ,2024,78,25.7
KEN,2011,89,29.15
KEN,2012,96,28.9
KEN,2013,99,30.28
KEN,2014,85,31.85
KEN,2015,92,30.19
KEN,2016,80,30.36
KEN,2017,80,30.95
KEN,2018,78,31.07
KEN,2019,77,31.13
KEN,2020,86,26.13
KEN,2021,85,27.5
KEN,2022,88,22.7
KEN,2023,100,21.2
KEN,2024,96,21
KGZ,2011,85,29.79
KGZ,2012,109,26.4
KGZ,2013,117,26.98
KGZ,2014,112,27.75
KGZ,2015,109,27.96
KGZ,2016,103,26.62
KGZ,2017,95,28.01
KGZ,2018,94,27.56
KGZ,2019,90,28.38
KGZ,2020,94,24.51
KGZ,2021,98,24.5
KGZ,2022,94,21.1
KGZ,2023,106,20.2
KGZ,2024,99,20.4
KHM,2011,111,25.46
KHM,2012,129,23.4
KHM,2013,110,28.07
KHM,2014,106,28.66
KHM,2015,91,30.35
KHM,2016,95,27.94
KHM,2017,101,27.05
KHM,2018,98,26.69
KHM,2019,98,26.59
KHM,2020,110,21.46
KHM,2021,109,22.8
KHM,2022,97,20.5
KHM,2023,101,20.8
KHM,2024,103,19.9
KOR,2011,16,53.68
KOR,2012,21,53.9
KOR,2013,18,53.31
KOR,2014,16,55.27
KOR,2015,14,56.26
KOR,2016,11,57.15
KOR,2017,11,57.7
KOR,2018,12,56.63
KOR,2019,11,56.55
KOR,2020,10,56.11
KOR,2021,5,59.3
KOR,2022,6,57.8
KOR,2023,10,58.6
KOR,2024,6,60.9
KWT,2011,52,36.64
KWT,2012,55,37.2
KWT,2013,50,40.02
KWT,2014,69,35.19
KWT,2015,77,33.2
KWT,2016,67,33.61
KWT,2017,56,36.1
KWT,2018,60,34.43
KWT,2019,60,34.55
KWT,2020,78,28.4
KWT,2021,72,29.9
KWT,2022,62,29.2
KWT,2023,64,29.9
KWT,2024,71,28.1
LAO,2011,-1,-1
LAO,2012,138,20.2
LAO,2013,-1,-1
LAO,2014,-1,-1
LAO,2015,-1,-1
LAO,2016,-1,-1
LAO,2017,-1,-1
LAO,2018,-1,-1
LAO,2019,-1,-1
LAO,2020,113,20.65
LAO,2021,117,20.2
LAO,2022,112,17.4
LAO,2023,110,18.3
LAO,2024,111,17.8
LBN,2011,49,37.11
LBN,2012,61,36.2
LBN,2013,75,35.47
LBN,2014,77,33.6
LBN,2015,74,33.82
LBN,2016,70,32.7
LBN,2017,81,30.64
LBN,2018,90,28.22
LBN,2019,88,28.54
LBN,2020,87,26.02
LBN,2021,92,25.1
LBN,2022,-1,-1
LBN,2023,92,23.2
LBN,2024,94,21.5
LKA,2011,82,30.36
LKA,2012,94,29.1
LKA,2013,98,30.45
LKA,2014,105,28.98
LKA,2015,85,30.79
LKA,2016,91,28.92
LKA,2017,90,29.85
LKA,2018,88,28.66
LKA,2019,89,28.45
LKA,2020,101,23.78
LKA,2021,95,25.1
LKA,2022,85,24.2
LKA,2023,90,23.3
LKA,2024,89,22.6
LSO,2011,-1,-1
LSO,2012,116,25.7
LSO,2013,124,26.29
LSO,2014,117,27.01
LSO,2015,118,26.97
LSO,2016,-1,-1
LSO,2017,-1,-1
LSO,2018,-1,-1
LSO,2019,-1,-1
LSO,2020,-1,-1
LSO,2021,-1,-1
LSO,2022,-1,-1
LSO,2023,-1,-1
LSO,2024,-1,-1
LTU,2011,40,38.49
LTU,2012,38,44
LTU,2013,40,41.39
LTU,2014,39,41
LTU,2015,38,42.26
LTU,2016,36,41.76
LTU,2017,40,41.17
LTU,2018,40,41.19
LTU,2019,38,41.46
LTU,2020,40,39.18
LTU,2021,39,39.9
LTU,2022,39,37.3
LTU,2023,34,42
LTU,2024,35,40.1
LUX,2011,17,52.65
LUX,2012,11,57.7
LUX,2013,12,56.57
LUX,2014,9,56.86
LUX,2015,9,59.02
LUX,2016,12,57.11
LUX,2017,12,56.4
LUX,2018,15,54.53
LUX,2019,18,53.47
LUX,2020,18,50.84
LUX,2021,23,49
LUX,2022,19,49.8
LUX,2023,21,50.6
LUX,2024,20,49.1
LVA,2011,36,39.8
LVA,2012,30,47
LVA,2013,33,45.24
LVA,2014,34,44.81
LVA,2015,33,45.51
LVA,2016,34,44.33
LVA,2017,33,44.61
LVA,2018,34,43.18
LVA,2019,34,43.23
LVA,2020,36,41.11
LVA,2021,38,40
LVA,2022,41,36.5
LVA,2023,37,39.7
LVA,2024,42,36.4
MAR,2011,94,28.73
MAR,2012,88,30.7
MAR,2013,92,30.89
MAR,2014,84,32.24
MAR,2015,78,33.19
MAR,2016,72,32.26
MAR,2017,72,32.72
MAR,2018,76,31.09
MAR,2019,74,31.63
MAR,2020,75,28.97
MAR,2021,77,29.3
MAR,2022,67,28.8
MAR,2023,70,28.4
MAR,2024,66,28.8
MDA,2011,39,38.66
MDA,2012,50,39.2
MDA,2013,45,40.94
MDA,2014,43,40.74
MDA,2015,44,40.53
MDA,2016,46,38.39
MDA,2017,54,36.84
MDA,2018,48,37.63
MDA,2019,58,35.52
MDA,2020,59,32.98
MDA,2021,64,32.3
MDA,2022,56,31.1
MDA,2023,60,30.3
MDA,2024,68,28.7
MDG,2011,113,25.41
MDG,2012,126,24.2
MDG,2013,140,22.95
MDG,2014,124,25.5
MDG,2015,125,24.42
MDG,2016,111,24.79
MDG,2017,111,24.15
MDG,2018,106,24.75
MDG,2019,121,22.38
MDG,2020,115,20.4
MDG,2021,110,22.5
MDG,2022,106,18.6
MDG,2023,107,19.1
MDG,2024,110,17.9
MEX,2011,81,30.45
MEX,2012,79,32.9
MEX,2013,63,36.82
MEX,2014,66,36.02
MEX,2015,57,38.03
MEX,2016,61,34.56
MEX,2017,58,35.79
MEX,2018,56,35.34
MEX,2019,56,36.06
MEX,2020,55,33.6
MEX,2021,55,34.5
MEX,2022,58,31
MEX,2023,58,31
MEX,2024,56,30.4
MKD,2011,67,33.47
MKD,2012,62,36.2
MKD,2013,51,38.18
MKD,2014,60,36.93
MKD,2015,56,38.03
MKD,2016,58,35.4
MKD,2017,61,35.43
MKD,2018,84,29.91
MKD,2019,59,35.29
MKD,2020,57,33.43
MKD,2021,59,34.1
MKD,2022,66,28.8
MKD,2023,54,33
MKD,2024,58,29.9
MLI,2011,107,26.35
MLI,2012,119,25.4
MLI,2013,106,28.84
MLI,2014,119,26.18
MLI,2015,105,28.37
MLI,2016,112,24.77
MLI,2017,118,22.48
MLI,2018,112,23.32
MLI,2019,112,24.03
MLI,2020,123,19.15
MLI,2021,124,19.5
MLI,2022,126,14.2
MLI,2023,129,12.9
MLI,2024,131,11.8
MLT,2011,-1,-1
MLT,2012,16,56.1
MLT,2013,24,51.79
MLT,2014,25,50.44
MLT,2015,26,50.48
MLT,2016,26,50.44
MLT,2017,26,50.6
MLT,2018,26,50.29
MLT,2019,27,49.01
MLT,2020,27,46.39
MLT,2021,27,47.1
MLT,2022,21,49.2
MLT,2023,25,49.1
MLT,2024,29,44.8
MMR,2011,-1,-1
MMR,2012,-1,-1
MMR,2013,-1,-1
MMR,2014,140,19.64
MMR,2015,138,20.27
MMR,2016,-1,-1
MMR,2017,-1,-1
MMR,2018,-1,-1
MMR,2019,-1,-1
MMR,2020,129,17.74
MMR,2021,127,18.4
MMR,2022,116,16.4
MMR,2023,-1,-1
MMR,2024,125,13.8
MNE,2011,-1,-1
MNE,2012,45,40.1
MNE,2013,44,40.95
MNE,2014,59,37.01
MNE,2015,41,41.23
MNE,2016,51,37.36
MNE,2017,48,38.07
MNE,2018,52,36.49
MNE,2019,45,37.7
MNE,2020,49,35.39
MNE,2021,50,35.4
MNE,2022,60,30.3
MNE,2023,75,27.8
